Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
top ten things barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
top ten things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
top ten things to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
travelcard barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,22%,-33%,Medium,6600,6600,5400,5400,5400,4400,4400,3600,3600,3600,3600,4400
valencia barcelona bus,City PDP,Barcelona,Misc & branded queries,Nearby block,4400,0%,-18%,Medium,4400,4400,4400,4400,4400,4400,5400,4400,2900,3600,3600,3600
barcelona beach mar bella,City PDP,Barcelona,Beaches & water,Things to do block,3600,89%,50%,Low,2900,4400,5400,6600,6600,4400,2400,1600,1300,1900,1900,3600
barcelona best eats,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,50%,-33%,Low,4400,5400,4400,4400,3600,3600,2900,2400,1900,2400,2400,3600
barcelona day trips,City PDP,Barcelona,Nearby & day trips,Nearby block,3600,0%,-33%,High,5400,5400,4400,4400,4400,3600,2900,2400,2400,3600,3600,3600
barcelona excursions,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,24%,-18%,Medium,4400,4400,4400,4400,4400,4400,2900,1600,1600,2900,2900,3600
barcelona metro diagonal,City PDP,Barcelona,Getting there & local transport,Unclassified,3600,0%,-65%,Low,5400,4400,4400,4400,3600,4400,5400,4400,3600,1900,1600,1900
barcelona montserrat tickets,City PDP,Barcelona,Nature & outdoors,Nearby block,3600,50%,-18%,High,4400,4400,3600,3600,3600,3600,3600,2400,2400,2400,2400,3600
barcelona spain day tours,City PDP,Barcelona,Nearby & day trips,Unclassified,3600,0%,-33%,High,5400,5400,4400,4400,4400,3600,2900,2400,2400,3600,3600,3600
barcelona spain trip,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,0%,-18%,Medium,4400,5400,3600,3600,3600,2900,2400,1900,2400,3600,2900,3600
best barcelona food,City PDP,Barcelona,Food & drink,Things to do block,3600,50%,-33%,Low,4400,5400,4400,4400,3600,3600,2900,2400,1900,2400,2400,3600
best food barcelona spain,City PDP,Barcelona,Food & drink,Unclassified,3600,50%,-33%,Low,4400,5400,4400,4400,3600,3600,2900,2400,1900,2400,2400,3600
best food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,3600,50%,-33%,Low,4400,5400,4400,4400,3600,3600,2900,2400,1900,2400,2400,3600
burger world bcn halal,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,-34%,-21%,Low,3600,3600,3600,5400,6600,3600,3600,3600,3600,2900,1900,1900
diagonal metro barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,3600,0%,-34%,Low,4400,3600,3600,2900,2900,2900,3600,3600,2900,2900,2900,2900
good food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,3600,50%,-33%,Low,4400,5400,4400,4400,3600,3600,2900,2400,1900,2400,2400,3600
h&m in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,21%,-19%,Medium,4400,4400,4400,3600,3600,3600,3600,2900,2400,2400,2400,2900
halal barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
halal food barcelona,City PDP,Barcelona,Food & drink,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
halal food barcelone,City PDP,Barcelona,Food & drink,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
halal food barcelona spain,City PDP,Barcelona,Food & drink,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
halal in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
halal places to eat in barcelona,City PDP,Barcelona,Food & drink,Unclassified,3600,21%,-19%,Low,5400,3600,3600,4400,4400,2900,2900,2900,2400,2400,1900,2900
italian barcelona restaurants,City PDP,Barcelona,Food & drink,Things to do block,3600,52%,-19%,Low,5400,3600,3600,3600,4400,2900,3600,2400,2400,2900,2900,4400
italian restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,3600,52%,-19%,Low,5400,3600,3600,3600,4400,2900,3600,2400,2400,2900,2900,4400
italian restaurants in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,3600,52%,-19%,Low,5400,3600,3600,3600,4400,2900,3600,2400,2400,2900,2900,4400
mar bella beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,3600,89%,50%,Low,2900,4400,5400,6600,6600,4400,2400,1600,1300,1900,1900,3600
museu nacional d art de catalunya parc de montjuïc barcelona,City PDP,Barcelona,Art & culture,City attractions block,3600,52%,22%,Low,3600,4400,2900,2900,2400,3600,3600,3600,2900,2900,3600,4400
restaurants in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,3600,50%,-33%,Low,5400,6600,4400,3600,2900,3600,2900,2400,2400,2400,2900,3600
tickets montserrat barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,3600,50%,-18%,High,4400,4400,3600,3600,3600,3600,3600,2400,2400,2400,2400,3600
touring barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,3600,24%,0%,High,3600,3600,3600,4400,4400,3600,2900,2400,2400,2900,2900,3600
trips to barcelona,City PDP,Barcelona,Misc & branded queries,H1,3600,0%,-18%,Medium,4400,5400,3600,3600,3600,2900,2400,1900,2400,3600,2900,3600
tucco real food eixample,City PDP,Barcelona,Food & drink,Unclassified,3600,-33%,-93%,Low,5400,6600,5400,5400,5400,5400,4400,4400,1000,720,590,480
activities barcelona spain,City PDP,Barcelona,Activities & experiences,Unclassified,2900,50%,-18%,High,4400,5400,3600,3600,2900,2900,2900,1900,1900,2400,2900,3600
all you can eat sushi barcelona,City PDP,Barcelona,Food & drink,Things to do block,2900,21%,-46%,Low,3600,2400,2400,3600,3600,2400,2400,2400,2400,2400,2400,2900
autobus airport barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,2900,0%,-45%,Low,3600,4400,3600,3600,3600,3600,2900,2400,1900,2400,2400,2400
barcelona activities,City PDP,Barcelona,Activities & experiences,Things to do block,2900,50%,-18%,High,4400,5400,3600,3600,2900,2900,2900,1900,1900,2400,2900,3600
barcelona airport city bus,City PDP,Barcelona,Getting there & local transport,Unclassified,2900,0%,-45%,Low,3600,4400,3600,3600,3600,3600,2900,2400,1900,2400,2400,2400
barcelona airport city center,City PDP,Barcelona,Getting there & local transport,Unclassified,2900,0%,-19%,Low,2900,2900,2900,2400,2400,2900,2400,2400,1900,2900,2900,2900
barcelona autobus,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,-19%,-56%,Low,3600,3600,2900,3600,2900,3600,2900,2900,2900,3600,2900,2900
barcelona city activities,City PDP,Barcelona,Activities & experiences,Things to do block,2900,50%,-18%,High,4400,5400,3600,3600,2900,2900,2900,1900,1900,2400,2900,3600
barcelona city sights,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-19%,High,3600,3600,3600,3600,3600,3600,3600,2400,1900,2400,2400,2900
barcelona city transport,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,1900,1900,2400,2400,2900
barcelona city what to do,City PDP,Barcelona,Activities & experiences,Things to do block,2900,0%,-33%,High,4400,3600,2900,3600,2900,2900,2400,1900,1600,2400,2400,2400
barcelona contemporary,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-34%,Medium,3600,2900,3600,2900,2900,4400,2900,2400,2400,2400,2400,2900
barcelona fish restaurant,City PDP,Barcelona,Food & drink,Things to do block,2900,26%,-45%,Low,4400,3600,2900,2900,2900,2900,2900,1900,1600,1900,1900,2400
barcelona fundacio joan miro,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,2400,2400,2900,2900,2900
barcelona metro pass,City PDP,Barcelona,Getting there & local transport,Transport block,2900,0%,-19%,Low,3600,4400,4400,3600,3600,3600,2900,2400,1900,2900,2400,2900
barcelona spain seafood restaurants,City PDP,Barcelona,Food & drink,Things to do block,2900,26%,-45%,Low,4400,3600,2900,2900,2900,2900,2900,1900,1600,1900,1900,2400
barcelona spain to do,City PDP,Barcelona,Misc & branded queries,Things to do block,2900,0%,-33%,High,4400,3600,2900,3600,2900,2900,2400,1900,1600,2400,2400,2400
barcelona spain transportation,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,1900,1900,2400,2400,2900
barcelona to do,City PDP,Barcelona,Misc & branded queries,Things to do block,2900,0%,-33%,High,4400,3600,2900,3600,2900,2900,2400,1900,1600,2400,2400,2400
barcelona towns nearby,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-19%,Low,3600,3600,2900,2900,2900,2400,2400,1900,1900,2900,2400,2900
barcelona transit pass,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-19%,Low,3600,4400,4400,3600,3600,3600,2900,2400,1900,2900,2400,2900
barceloneta burger,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,2900,0%,-64%,Low,4400,2900,2400,2900,2900,2400,2400,2400,2400,2400,1900,2400
bcn airport to city center,City PDP,Barcelona,Getting there & local transport,Unclassified,2900,0%,-19%,Low,2900,2900,2900,2400,2400,2900,2400,2400,1900,2900,2900,2900
bcn transportation,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,1900,1900,2400,2400,2900
beach city near barcelona,City PDP,Barcelona,Beaches & water,Unclassified,2900,26%,-33%,Medium,4400,4400,5400,4400,3600,1900,1300,880,1000,1900,1900,2400
beaches close to barcelona,City PDP,Barcelona,Beaches & water,Things to do block,2900,26%,-33%,Medium,4400,4400,5400,4400,3600,1900,1300,880,1000,1900,1900,2400
beaches near barcelona,City PDP,Barcelona,Beaches & water,Nearby block,2900,26%,-33%,Medium,4400,4400,5400,4400,3600,1900,1300,880,1000,1900,1900,2400
beaches near barcelona spain,City PDP,Barcelona,Beaches & water,Nearby block,2900,26%,-33%,Medium,4400,4400,5400,4400,3600,1900,1300,880,1000,1900,1900,2400
best barcelona museums,City PDP,Barcelona,Art & culture,City attractions block,2900,24%,-18%,High,3600,3600,3600,3600,2900,3600,2900,2400,2400,2900,2400,3600
best churros in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,53%,-34%,Low,4400,3600,2900,2900,2900,2400,2900,1900,1900,1900,1900,2900
best italian pizza barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,2900,53%,-34%,Low,4400,2900,2900,3600,2900,2900,2900,1900,1900,1900,1900,2900
best museums in barcelona,City PDP,Barcelona,Art & culture,City attractions block,2900,24%,-18%,High,3600,3600,3600,3600,2900,3600,2900,2400,2400,2900,2400,3600
best museums of barcelona,City PDP,Barcelona,Art & culture,City attractions block,2900,24%,-18%,High,3600,3600,3600,3600,2900,3600,2900,2400,2400,2900,2400,3600
best pizza barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,2900,53%,-34%,Low,4400,2900,2900,3600,2900,2900,2900,1900,1900,1900,1900,2900
best pizza in barcelona spain,City PDP,Barcelona,Misc & branded queries,Things to do block,2900,53%,-34%,Low,4400,2900,2900,3600,2900,2900,2900,1900,1900,1900,1900,2900
best places to eat in barcelona,City PDP,Barcelona,Food & drink,Unclassified,2900,53%,-34%,Medium,4400,4400,3600,3600,3600,2900,2400,1900,1300,1900,1900,2900
burger in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-64%,Low,4400,2900,2400,2900,2900,2400,2400,2400,2400,2400,1900,2400
bus airport barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,2900,0%,-45%,Low,3600,4400,3600,3600,3600,3600,2900,2400,1900,2400,2400,2400
bus to bcn,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-45%,Low,3600,4400,3600,3600,3600,3600,2900,2400,1900,2400,2400,2400
cities nearby barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,2900,0%,-19%,Low,3600,3600,2900,2900,2900,2400,2400,1900,1900,2900,2400,2900
cool places to eat barcelona,City PDP,Barcelona,Food & drink,Unclassified,2900,53%,-34%,Medium,4400,4400,3600,3600,3600,2900,2400,1900,1300,1900,1900,2900
duck shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,26%,0%,Low,2900,2900,2900,3600,3600,2900,2900,1900,1900,1900,2400,2400
famous barcelona places,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous barcelona sites,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous places in barcelona spain,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous sights in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous sites in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous spots in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous things in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
famous tourist places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
fast food barcelona,City PDP,Barcelona,Food & drink,Unclassified,2900,0%,-45%,Low,4400,2900,2900,3600,4400,2400,1900,1900,1900,2400,1900,2400
fast food barcelona spain,City PDP,Barcelona,Food & drink,Unclassified,2900,0%,-45%,Low,4400,2900,2900,3600,4400,2400,1900,1900,1900,2400,1900,2400
fast food in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,2900,0%,-45%,Low,4400,2900,2900,3600,4400,2400,1900,1900,1900,2400,1900,2400
hamburgers barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-64%,Low,4400,2900,2400,2900,2900,2400,2400,2400,2400,2400,1900,2400
how do you get to montserrat from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
how to get from barcelona to montserrat,City PDP,Barcelona,Nearby & day trips,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
how to get to montserrat from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
how to go from barcelona to montserrat,City PDP,Barcelona,Nearby & day trips,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
how to go to montserrat from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
how to reach montserrat from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,50%,0%,Medium,3600,3600,2900,2900,2900,2900,2900,2400,1900,2400,2400,3600
joan miro foundation barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,2400,2400,2900,2900,2900
metro tickets in barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,2900,0%,-19%,Low,3600,4400,4400,3600,3600,3600,2900,2400,1900,2900,2400,2900
montserrat day trip from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,2900,0%,-33%,Medium,1900,2900,4400,5400,4400,2900,2400,2400,2900,1600,1300,1600
montserrat tours from barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,21%,-19%,High,3600,3600,2900,3600,2900,2900,2900,2400,1900,2400,2900,2900
museu miro barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,2400,2400,2900,2900,2900
nice places to eat barcelona,City PDP,Barcelona,Food & drink,Unclassified,2900,53%,-34%,Medium,4400,4400,3600,3600,3600,2900,2400,1900,1300,1900,1900,2900
paella barceloneta,City PDP,Barcelona,Food & drink,Unclassified,2900,53%,-34%,Medium,5400,3600,2900,2900,2900,2900,2400,1900,1900,1900,1900,2900
platja del bogatell barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,126%,-12%,Low,2900,4400,9900,5400,3600,6600,1000,590,480,390,480,880
playa del bogatell barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,83%,-12%,Low,2900,4400,9900,6600,5400,5400,1000,720,390,480,720,880
popular place in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
popular places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,2900,0%,0%,Medium,3600,4400,2900,2400,2900,2900,2900,2400,2400,2900,2400,2900
praia bogatell barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,83%,-12%,Low,2900,4400,9900,6600,5400,5400,1000,720,390,480,720,880
sea food barcelona,City PDP,Barcelona,Food & drink,Unclassified,2900,132%,0%,Low,6600,8100,1300,1600,1600,1300,1300,1300,1300,1900,2900,4400
seafood in barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,132%,0%,Low,6600,8100,1300,1600,1600,1300,1300,1300,1300,1900,2900,4400
seafood restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,2900,26%,-45%,Low,4400,3600,2900,2900,2900,2900,2900,1900,1600,1900,1900,2400
seafood restaurant in barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,2900,26%,-45%,Low,4400,3600,2900,2900,2900,2900,2900,1900,1600,1900,1900,2400
tapas 24 barcelona,City PDP,Barcelona,Food & drink,Things to do block,2900,-18%,-18%,Low,4400,4400,3600,2900,2900,2900,2900,1900,1900,4400,2400,3600
tapas 24 barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,2900,-18%,-18%,Low,4400,4400,3600,2900,2900,2900,2900,1900,1900,4400,2400,3600
tapas 24 restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,2900,-18%,-18%,Low,4400,4400,3600,2900,2900,2900,2900,1900,1900,4400,2400,3600
to see in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,0%,-33%,High,4400,3600,2900,3600,2900,2900,2400,1900,1600,2400,2400,2400
train from barcelona to montserrat,City PDP,Barcelona,Nearby & day trips,Nearby block,2900,50%,-17%,Medium,2900,4400,5400,2900,5400,3600,1900,1900,1300,1600,1900,2400
train montserrat to barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,2900,50%,-17%,Medium,2900,4400,5400,2900,5400,3600,1900,1900,1300,1600,1900,2400
transport barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2900,21%,-19%,Medium,3600,3600,2900,2900,2400,2900,2900,1900,1900,2400,2400,2900
barcelona 3 day itinerary,City PDP,Barcelona,Itineraries & trip length,Unclassified,2400,21%,-19%,Medium,3600,3600,2900,2400,2400,2400,1900,1600,1300,2400,2400,2900
barcelona banksy,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-19%,High,3600,3600,2400,2400,2400,2900,2400,1900,2400,2900,2400,2900
barcelona city tourist attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
barcelona main attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
barcelona paella,City PDP,Barcelona,Food & drink,Things to do block,2400,0%,0%,Low,2900,1900,1900,1600,1900,2400,1900,1900,1900,2400,2400,2400
barcelona playa bogatell,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,108%,0%,Low,2400,3600,5400,4400,4400,3600,1000,480,390,480,720,1000
barcelona public transport price,City PDP,Barcelona,Getting there & local transport,Unclassified,2400,19%,-34%,Medium,2900,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900
barcelona public transport tickets,City PDP,Barcelona,Getting there & local transport,Unclassified,2400,19%,-34%,Medium,2900,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900
barcelona three day itinerary,City PDP,Barcelona,Itineraries & trip length,Unclassified,2400,21%,-19%,Medium,3600,3600,2900,2400,2400,2400,1900,1600,1300,2400,2400,2900
barcelona tourist highlights,City PDP,Barcelona,Misc & branded queries,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
barcelona tourist locations,City PDP,Barcelona,Misc & branded queries,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
barcelona vegan restaurant,City PDP,Barcelona,Food & drink,Things to do block,2400,26%,-33%,Low,2900,2900,2900,2400,1900,2400,1900,1900,1600,1900,1900,2400
barcelona visitor attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
barceloneta beach restaurants,City PDP,Barcelona,Food & drink,Unclassified,2400,90%,-34%,Low,3600,3600,3600,3600,2900,1900,1600,880,720,1000,1000,1900
best beaches close to barcelona,City PDP,Barcelona,Beaches & water,Things to do block,2400,19%,-34%,Medium,3600,4400,5400,4400,3600,1900,880,590,720,1600,1600,1900
best beaches near barcelona,City PDP,Barcelona,Beaches & water,Nearby block,2400,19%,-34%,Medium,3600,4400,5400,4400,3600,1900,880,590,720,1600,1600,1900
best beaches near barcelona spain,City PDP,Barcelona,Beaches & water,Nearby block,2400,19%,-34%,Medium,3600,4400,5400,4400,3600,1900,880,590,720,1600,1600,1900
best breakfast barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,19%,-57%,Low,3600,3600,2900,2900,2400,2400,2400,1900,1300,1600,1600,1900
biggest zara in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,23%,0%,Low,2400,2900,3600,2900,3600,2900,1900,1300,1300,1300,1000,1600
fun activities in barcelona spain,City PDP,Barcelona,Activities & experiences,Unclassified,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
fun activities to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
fun in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
fun stuff to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
fun things in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
fun things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,2400,0%,-17%,High,3600,4400,2900,2900,2400,2400,1900,1600,1600,2400,2400,2400
gift barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,-21%,0%,High,1900,2900,1900,1600,1600,1900,1900,2900,4400,2400,1600,1900
italian food barcelona,City PDP,Barcelona,Food & drink,Unclassified,2400,53%,0%,Low,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,2900
la barceloneta barcelona spain,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,2400,46%,-21%,Low,2900,2900,3600,3600,2900,2900,2900,1900,1300,1300,1600,1900
la rambla barcelona stores,City PDP,Barcelona,Misc & branded queries,Things to do block,2400,0%,26%,Low,1900,1900,1900,3600,1900,3600,1900,1600,1900,2400,2900,2400
lady dumplings barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,0%,-56%,Low,4400,2900,2900,2900,2900,2900,2400,1900,1600,2400,1900,2400
largest zara in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,23%,0%,Low,2400,2900,3600,2900,3600,2900,1900,1300,1300,1300,1000,1600
las ramblas barcelona shopping,City PDP,Barcelona,Shopping,Things to do block,2400,0%,26%,Low,1900,1900,1900,3600,1900,3600,1900,1600,1900,2400,2900,2400
las ramblas shopping barcelona,City PDP,Barcelona,Shopping,Unclassified,2400,0%,26%,Low,1900,1900,1900,3600,1900,3600,1900,1600,1900,2400,2900,2400
major attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,0%,-34%,High,2900,2900,2400,2400,2400,2400,1900,1600,1600,1900,1900,1900
moments restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,2400,0%,-17%,Low,2400,2900,2400,2400,2400,2900,2400,2400,2400,2400,2400,2400
montserrat barcelona cable car,City PDP,Barcelona,Nature & outdoors,Nearby block,2400,50%,-17%,Medium,2900,2900,2400,2400,2400,2400,1900,1900,1300,1600,1900,2400
paella restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,2400,46%,-34%,Medium,2900,2900,2900,2900,2400,1900,1900,1300,1000,1300,1900,1900
playa bogatell barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,108%,0%,Low,2400,3600,5400,4400,4400,3600,1000,480,390,480,720,1000
playa de bogatell barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,2400,108%,0%,Low,2400,3600,5400,5400,6600,4400,1300,590,390,480,590,1000
popular attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
popular barcelona attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
popular tourist attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,2400,26%,-33%,High,2900,2900,2900,2400,2400,2400,2400,1600,1600,1900,1900,2400
rambla barcelona shopping,City PDP,Barcelona,Shopping,Things to do block,2400,0%,26%,Low,1900,1900,1900,3600,1900,3600,1900,1600,1900,2400,2900,2400
rooftop restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,2400,90%,-47%,Low,3600,3600,4400,3600,3600,2400,1900,1000,1000,1000,1300,1900
