Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
top ten things to do in spain,Country PLP,Spain,Activities & experiences,320,-19%,-33%,Medium,320,390,260,260,320,260,260,260,320,320,260,260
places to visit in southern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,480,480,480,390,390,390,320,320,590,390,480
top places to see in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
places in spain for family holidays,Country PLP,Spain,Trip types & holidays,20,-75%,-75%,Medium,40,50,30,20,20,10,10,10,10,40,20,10
best holiday destinations spain families,Country PLP,Spain,Trip types & holidays,10,0%,-50%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
best places to visit in spain in september,Country PLP,Spain,Seasonality & weather,140,22%,0%,Medium,140,170,210,260,260,140,40,50,30,90,110,110
best places to visit in spain in november,Country PLP,Spain,Seasonality & weather,170,25%,-44%,Low,70,110,170,260,260,480,590,210,30,40,30,50
southern spain road trip,Country PLP,Spain,Itineraries & road trips,320,-18%,-46%,Low,390,480,390,390,320,320,320,260,210,390,320,320
good holiday destinations in spain,Country PLP,Spain,Trip types & holidays,260,0%,-18%,Medium,390,390,390,390,260,170,140,110,140,320,210,320
places to go in spain for couples,Country PLP,Spain,Trip types & holidays,10,0%,-50%,Medium,10,10,20,10,10,10,10,10,10,10,10,10
3 day trip to spain,Country PLP,Spain,Places & destinations,30,0%,-33%,Medium,50,40,30,30,30,20,20,10,20,20,20,20
4 day trip to spain,Country PLP,Spain,Places & destinations,30,0%,0%,High,40,50,40,50,30,20,20,10,10,40,30,40
best places in spain for summer holidays,Country PLP,Spain,Seasonality & weather,20,0%,-60%,Medium,50,50,40,40,10,10,10,10,10,20,20,20
beach places in spain,Country PLP,Spain,Beaches & coast,210,24%,-19%,Low,320,320,320,260,170,140,140,140,140,210,260,260
best places to visit in spain in april,Country PLP,Spain,Seasonality & weather,210,23%,0%,Medium,170,70,50,70,90,90,110,140,210,390,480,480
top 5 holiday destinations in spain,Country PLP,Spain,Trip types & holidays,10,-50%,0%,Low,10,20,20,10,10,10,10,10,10,20,10,10
portugal and southern spain itinerary,Country PLP,Spain,Itineraries & road trips,70,-22%,-36%,Low,110,90,90,70,70,50,30,50,50,90,50,70
trip to northern spain,Country PLP,Spain,Regional exploration,880,0%,-12%,Medium,1000,1000,880,880,720,720,880,590,480,880,720,880
expat explore spain and portugal 15 days,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,20,10,10,20,20,10,10,10,10
top 5 places to visit in spain,Country PLP,Spain,Places & destinations,170,0%,-33%,Low,210,210,170,210,170,140,140,110,110,140,140,140
beautiful places to visit in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
spain in february where to go,Country PLP,Spain,Seasonality & weather,20,-86%,0%,Low,10,10,10,10,10,20,30,50,40,70,20,10
spain places to see,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
best spain travel itinerary,Country PLP,Spain,Itineraries & road trips,320,-46%,-56%,Medium,390,390,390,320,260,210,210,210,210,390,260,210
best spain vacation itinerary,Country PLP,Spain,Itineraries & road trips,10,0%,-50%,High,10,10,10,10,10,10,10,10,10,10,10,10
top holiday destinations spain,Country PLP,Spain,Trip types & holidays,390,0%,0%,Medium,480,480,480,480,390,320,260,320,210,390,320,390
spain holiday locations,Country PLP,Spain,Trip types & holidays,140,0%,-18%,Medium,260,210,170,170,170,110,110,70,50,140,90,140
best place to go in spain in september,Country PLP,Spain,Seasonality & weather,140,22%,0%,Medium,140,170,210,260,260,140,40,50,30,90,110,110
cheap places to go on holiday in spain,Country PLP,Spain,Budget & value,30,33%,-20%,High,50,50,30,50,30,40,10,10,20,30,20,40
visiting southern spain,Country PLP,Spain,Regional exploration,90,0%,-47%,Low,90,110,140,110,90,110,90,50,50,90,70,90
southern spain trip,Country PLP,Spain,Regional exploration,320,-19%,-33%,Medium,320,390,320,320,320,320,260,320,260,320,320,260
best place to visit in spain for the first time,Country PLP,Spain,Practical planning,70,0%,40%,Medium,50,110,140,140,90,40,40,20,40,70,50,70
best places to visit in spain in may,Country PLP,Spain,Seasonality & weather,110,-19%,-19%,Medium,210,110,30,30,50,50,50,70,90,260,210,210
south spain cities,Country PLP,Spain,Regional exploration,2400,-17%,-17%,Low,2400,2400,2400,2400,2400,1900,2400,2400,1900,2900,1900,2400
things to do in spain in september,Country PLP,Spain,Seasonality & weather,50,-20%,-20%,Medium,70,90,90,110,90,70,20,20,20,50,30,40
northern spain package holidays,Country PLP,Spain,Regional exploration,90,27%,100%,High,70,110,110,70,70,70,40,40,50,110,140,140
spain in winter,Country PLP,Spain,Seasonality & weather,4400,-33%,-17%,Low,2900,3600,3600,4400,4400,5400,5400,5400,4400,3600,2900,2400
best holiday spots in spain,Country PLP,Spain,Trip types & holidays,1900,0%,-45%,Medium,2900,2900,2900,2400,1900,1300,880,590,720,1600,1600,1600
northern spain vacation,Country PLP,Spain,Regional exploration,30,-33%,-78%,Medium,30,50,70,30,40,30,20,20,20,30,30,20
best places in spain to go on holiday,Country PLP,Spain,Trip types & holidays,40,0%,-43%,Medium,50,50,50,40,40,30,40,10,20,40,30,40
interesting places to visit in spain,Country PLP,Spain,Places & destinations,110,0%,-18%,Medium,140,170,90,50,50,140,170,90,70,90,110,90
spain summer destinations,Country PLP,Spain,Seasonality & weather,110,22%,-66%,Low,260,260,260,170,90,40,30,40,40,90,90,110
good places to visit in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
hidden gems in northern spain,Country PLP,Spain,Regional exploration,70,0%,-36%,Low,110,110,110,110,90,70,50,30,40,70,50,70
spain in december where to go,Country PLP,Spain,Seasonality & weather,20,-50%,0%,Medium,10,10,10,10,20,20,30,30,20,20,10,10
best places to visit in spain in june,Country PLP,Spain,Seasonality & weather,90,27%,0%,Medium,170,170,90,20,20,30,30,70,50,110,140,140
places to visit in spain in july,Country PLP,Spain,Seasonality & weather,30,0%,-40%,Medium,50,90,110,40,10,10,10,10,10,30,20,30
spain places to go,Country PLP,Spain,Places & destinations,260,-18%,52%,Low,260,320,260,210,260,210,170,210,210,390,260,320
tourist sites in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
best parts of spain,Country PLP,Spain,Places & destinations,390,-18%,-33%,Low,480,480,480,480,390,320,260,260,260,390,320,320
popular places to visit in spain,Country PLP,Spain,Places & destinations,210,0%,24%,Low,260,260,170,140,210,260,260,210,210,260,210,260
popular british holiday destinations in spain,Country PLP,Spain,Trip types & holidays,30,0%,-60%,Low,40,50,50,40,20,20,20,10,20,20,30,20
trip around spain,Country PLP,Spain,Places & destinations,30,-40%,-40%,Medium,40,50,30,40,20,30,20,30,30,50,20,30
best holiday destinations mainland spain,Country PLP,Spain,Regional exploration,10,-50%,-67%,Medium,20,20,20,10,20,10,10,10,10,20,10,10
sights in spain,Country PLP,Spain,Sightseeing & landmarks,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
trip to south of spain,Country PLP,Spain,Regional exploration,10,0%,-50%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
best holiday locations spain,Country PLP,Spain,Trip types & holidays,1900,0%,-45%,Medium,2900,2900,2900,2400,1900,1300,880,590,720,1600,1600,1600
nice places in spain to go on holiday,Country PLP,Spain,Trip types & holidays,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
places to visit in spain in october,Country PLP,Spain,Seasonality & weather,70,0%,-25%,Low,30,70,50,90,170,170,110,20,10,30,20,30
best part of spain for holiday,Country PLP,Spain,Trip types & holidays,20,-50%,-50%,Medium,20,40,20,20,10,10,10,10,10,20,10,10
southern spain travel guide,Country PLP,Spain,Regional exploration,30,-40%,-40%,Medium,30,20,20,40,30,30,30,10,30,50,40,30
best holiday destinations spain couples,Country PLP,Spain,Trip types & holidays,140,21%,-35%,Medium,210,210,210,170,110,110,70,50,40,140,140,170
visiting spain in october,Country PLP,Spain,Seasonality & weather,70,33%,-43%,Low,70,90,90,140,110,110,50,20,10,30,20,40
i want to go to spain,Country PLP,Spain,Places & destinations,70,40%,75%,Low,50,70,70,70,70,70,90,70,50,50,70,70
things to do in southern spain,Country PLP,Spain,Regional exploration,320,-33%,-33%,Low,320,320,260,320,320,260,210,260,260,390,260,260
sight seeing in spain,Country PLP,Spain,Places & destinations,50,75%,0%,Low,70,90,70,30,50,50,70,30,40,40,30,70
stuff to do in spain,Country PLP,Spain,Places & destinations,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
places to visit in spain in may,Country PLP,Spain,Seasonality & weather,70,-18%,-57%,High,170,90,30,20,20,20,20,30,40,110,140,90
spain places to go on holiday,Country PLP,Spain,Trip types & holidays,20,0%,50%,Medium,20,30,40,40,20,20,10,10,10,30,20,30
places to visit in spain in june,Country PLP,Spain,Seasonality & weather,50,0%,-56%,Medium,140,170,110,20,10,10,10,20,20,40,70,40
most beautiful cities in spain,Country PLP,Spain,Urban destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
spain holiday destinations for couples,Country PLP,Spain,Trip types & holidays,10,200%,200%,Medium,10,10,20,10,10,10,10,10,10,10,10,30
best cities to see in spain,Country PLP,Spain,Urban destinations,12100,-18%,-45%,Low,14800,18100,12100,12100,12100,9900,9900,8100,8100,12100,9900,9900
best places to see in portugal and spain,Country PLP,Spain,Places & destinations,210,-46%,-56%,Low,260,260,170,210,210,170,110,170,170,260,210,140
long stay vacations spain,Country PLP,Spain,Places & destinations,30,0%,0%,Medium,40,50,40,20,40,30,30,20,20,30,20,30
travel to spain in december,Country PLP,Spain,Seasonality & weather,260,-22%,-50%,Low,170,210,210,390,320,390,480,320,170,90,90,70
popular tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
best places to visit in spain in july,Country PLP,Spain,Seasonality & weather,70,0%,-18%,Medium,140,170,170,50,10,30,20,30,40,90,70,90
top 10 things to see in spain,Country PLP,Spain,Sightseeing & landmarks,320,-19%,-33%,Medium,320,390,260,260,320,260,260,260,320,320,260,260
nice holiday destinations in spain,Country PLP,Spain,Trip types & holidays,20,0%,0%,Medium,20,40,30,20,20,10,10,10,10,20,20,20
spain destinations for young adults,Country PLP,Spain,Places & destinations,20,0%,-80%,Medium,50,70,40,20,20,30,10,10,10,10,10,10
things to do in spain in july,Country PLP,Spain,Seasonality & weather,40,0%,-20%,Medium,90,70,90,30,10,10,10,10,40,40,30,40
cheap places to travel in spain,Country PLP,Spain,Budget & value,70,40%,-59%,Low,110,110,140,90,50,70,50,30,30,50,50,70
coast of spain trip,Country PLP,Spain,Places & destinations,20,-50%,-50%,Medium,30,10,20,20,10,10,10,10,10,20,20,10
top 10 spain tourist attractions,Country PLP,Spain,Sightseeing & landmarks,720,-18%,-18%,Low,720,880,720,880,880,880,720,590,480,720,480,590
best place to go in spain in october,Country PLP,Spain,Seasonality & weather,170,29%,0%,Medium,90,170,170,320,390,480,210,50,40,70,70,90
spain attractions top 10,Country PLP,Spain,Places & destinations,140,-35%,-35%,Medium,170,210,110,140,110,140,140,90,110,170,90,110
places to visit in spain in february,Country PLP,Spain,Seasonality & weather,50,-95%,0%,Low,10,10,10,10,10,30,50,70,90,210,70,10
best places to visit in spain in august,Country PLP,Spain,Seasonality & weather,110,27%,56%,Medium,140,170,260,210,90,20,20,30,30,110,90,140
tourist destination in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
spain main attractions,Country PLP,Spain,Places & destinations,480,23%,23%,Low,480,720,320,210,320,590,720,390,480,390,480,480
best places to visit in spain for couples,Country PLP,Spain,Trip types & holidays,110,-36%,-36%,Medium,140,140,140,110,140,90,90,40,40,140,140,90
places to visit in spain in march,Country PLP,Spain,Seasonality & weather,50,-71%,-29%,Medium,10,10,10,10,10,10,30,50,70,170,140,50
best travel in spain,Country PLP,Spain,Places & destinations,20,-33%,0%,Medium,10,20,20,10,10,20,10,10,10,30,10,20
must see things in spain,Country PLP,Spain,Sightseeing & landmarks,90,-18%,-18%,Medium,90,110,90,90,90,70,70,50,50,110,90,90
famous places to visit in spain,Country PLP,Spain,Sightseeing & landmarks,320,23%,52%,Low,390,390,260,210,210,390,320,320,170,260,320,320
best attractions in spain,Country PLP,Spain,Sightseeing & landmarks,170,-21%,-48%,Medium,210,210,170,140,140,210,170,110,110,140,110,110
best places to visit in spain on a budget,Country PLP,Spain,Budget & value,50,-50%,-91%,Medium,110,110,110,70,50,50,20,30,20,20,10,10
backpackers spain,Country PLP,Spain,Places & destinations,480,0%,-33%,Low,720,720,590,480,480,590,390,320,390,480,480,480
most visited places in spain,Country PLP,Spain,Places & destinations,390,0%,-19%,Low,590,590,590,390,390,480,480,320,320,390,320,390
popular tourist destinations in spain,Country PLP,Spain,Places & destinations,880,0%,-18%,Low,880,1300,720,590,720,1300,880,720,720,720,720,720
best month to go to spain,Country PLP,Spain,Seasonality & weather,1600,-32%,-32%,Low,1900,1900,1900,1900,1900,1600,1600,1600,1600,1900,1600,1300
beach towns in spain,Country PLP,Spain,Beaches & coast,2400,21%,-19%,Low,2900,2900,2900,2400,1900,1600,1300,1300,1300,2400,2400,2900
top tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
vacation places in spain,Country PLP,Spain,Trip types & holidays,880,0%,-32%,Medium,1300,1300,1000,1000,880,880,720,590,590,880,880,880
good holiday places in spain,Country PLP,Spain,Trip types & holidays,1900,0%,-45%,Medium,2900,2900,2900,2400,1900,1300,880,590,720,1600,1600,1600
good places to go on holiday in spain,Country PLP,Spain,Trip types & holidays,210,0%,-33%,Medium,320,320,260,260,170,140,90,90,90,260,210,260
best parts of spain for family holiday,Country PLP,Spain,Trip types & holidays,40,-40%,-57%,Medium,50,70,70,70,70,40,10,10,10,50,30,30
popular places in spain for holiday,Country PLP,Spain,Trip types & holidays,40,0%,0%,Medium,50,70,50,70,40,30,30,20,30,30,30,30
best place to go in spain in april,Country PLP,Spain,Seasonality & weather,210,23%,0%,Medium,170,70,50,70,90,90,110,140,210,390,480,480
best beach places in spain,Country PLP,Spain,Beaches & coast,110,0%,-35%,Low,170,170,140,140,90,40,40,40,40,110,90,110
unique things to do in spain,Country PLP,Spain,Activities & experiences,260,-19%,-56%,Low,320,480,320,260,260,260,170,140,110,210,170,170
best places to visit in spain in summer,Country PLP,Spain,Seasonality & weather,70,-22%,-36%,Medium,110,110,90,90,50,20,20,20,30,90,90,70
spain tourist guide,Country PLP,Spain,Places & destinations,390,0%,0%,Medium,480,480,390,390,390,480,390,320,320,390,320,390
things to do in spain in november,Country PLP,Spain,Seasonality & weather,70,0%,-50%,Medium,30,70,70,110,110,140,140,70,10,20,20,20
things to in spain,Country PLP,Spain,Places & destinations,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
cities to see in spain,Country PLP,Spain,Urban destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
spain must see and do,Country PLP,Spain,Sightseeing & landmarks,480,-34%,-46%,Medium,590,590,480,480,480,480,390,320,390,590,480,390
spain in november where to go,Country PLP,Spain,Seasonality & weather,20,0%,0%,Low,10,10,20,30,30,30,40,10,10,10,10,10
spain best places for holiday,Country PLP,Spain,Trip types & holidays,20,-33%,-33%,Medium,10,30,20,20,20,10,10,10,10,30,20,20
best beaches to visit in spain,Country PLP,Spain,Beaches & coast,90,-18%,-36%,Low,140,140,140,140,90,70,70,50,50,110,90,90
spain top 10 places to visit,Country PLP,Spain,Places & destinations,70,0%,-36%,Medium,90,90,50,70,70,70,50,50,70,70,90,70
best places to visit in spain in december,Country PLP,Spain,Seasonality & weather,170,-20%,-20%,Medium,70,90,110,140,210,320,390,390,260,50,50,40
best holiday destination in spain for adults,Country PLP,Spain,Trip types & holidays,10,0%,0%,High,20,20,20,10,10,10,10,10,10,10,10,10
most popular holiday destinations in spain,Country PLP,Spain,Trip types & holidays,50,-29%,-29%,Low,50,90,90,90,90,70,30,20,30,70,30,50
10 things to do in spain,Country PLP,Spain,Activities & experiences,40,0%,-20%,Low,50,70,50,20,20,40,20,30,30,40,30,40
places to vacation in spain,Country PLP,Spain,Trip types & holidays,880,0%,-32%,Medium,1300,1300,1000,1000,880,880,720,590,590,880,880,880
7 days in spain where to go,Country PLP,Spain,Itineraries & road trips,10,0%,-50%,Low,20,20,20,10,20,10,10,10,10,10,10,10
spain travel 2023,Country PLP,Spain,Places & destinations,10,0%,-100%,Unknown,0,0,0,10,0,0,0,0,0,0,0,0
the best place in spain for a holiday,Country PLP,Spain,Trip types & holidays,10,0%,-50%,High,20,30,20,30,10,10,10,10,10,10,10,10
top family destinations in spain,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
visit spain in july,Country PLP,Spain,Seasonality & weather,30,33%,-20%,Low,50,70,70,20,10,20,10,20,20,30,30,40
travel to spain in september,Country PLP,Spain,Seasonality & weather,30,100%,-33%,Medium,40,40,50,40,50,20,10,10,10,10,30,20
best family holiday locations spain,Country PLP,Spain,Trip types & holidays,10,-50%,0%,Medium,20,20,10,10,10,10,10,10,10,20,10,10
southern spain travel itinerary,Country PLP,Spain,Itineraries & road trips,3600,-34%,-56%,Medium,5400,5400,4400,3600,3600,3600,2900,2400,2900,4400,2900,2900
places to visit in spain in september,Country PLP,Spain,Seasonality & weather,50,-25%,-57%,Medium,70,50,110,140,110,50,20,10,10,40,30,30
top ten places to visit in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
spain best place for holiday,Country PLP,Spain,Trip types & holidays,20,-33%,-33%,Medium,10,30,20,20,20,10,10,10,10,30,20,20
cool places in spain,Country PLP,Spain,Places & destinations,1000,0%,-23%,Low,1600,1600,1000,720,880,1000,1000,880,720,1000,880,1000
spain in september where to go,Country PLP,Spain,Seasonality & weather,10,0%,-50%,Medium,20,30,40,20,30,10,10,10,10,10,10,10
best beach vacations in spain,Country PLP,Spain,Beaches & coast,140,0%,-56%,Medium,260,260,260,170,110,90,70,70,70,140,140,140
best spain trip itinerary,Country PLP,Spain,Itineraries & road trips,320,-46%,-56%,Medium,390,390,390,320,260,210,210,210,210,390,260,210
best locations in spain,Country PLP,Spain,Places & destinations,1000,0%,-23%,Low,1600,1600,1000,720,880,1000,1000,880,720,1000,880,1000
tourist cities in spain,Country PLP,Spain,Urban destinations,880,0%,-12%,Low,1000,1300,880,720,880,1000,1000,720,720,880,880,880
must go places in spain,Country PLP,Spain,Places & destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
fun places in spain,Country PLP,Spain,Places & destinations,170,-19%,21%,Low,260,390,140,110,140,170,170,110,110,210,140,170
solo trip in spain,Country PLP,Spain,Places & destinations,10,100%,0%,Medium,20,20,10,20,10,10,10,10,10,10,10,20
visiting spain in april,Country PLP,Spain,Seasonality & weather,40,-44%,-44%,Medium,30,10,20,20,20,40,30,40,50,90,70,50
best way to get around spain and portugal,Country PLP,Spain,Places & destinations,10,0%,-50%,Medium,10,10,20,10,10,10,10,10,10,10,10,10
best way to get around spain,Country PLP,Spain,Places & destinations,70,-36%,-36%,Low,90,110,90,90,70,70,50,50,40,110,70,70
things to do in spain in december,Country PLP,Spain,Seasonality & weather,110,-60%,-50%,Medium,50,70,90,110,140,210,210,210,90,50,30,20
cheapest city in spain to visit,Country PLP,Spain,Budget & value,590,22%,-18%,Low,880,1000,880,880,480,480,320,320,320,590,480,720
great places to visit in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
things to do in spain in august,Country PLP,Spain,Seasonality & weather,40,-25%,-25%,High,50,70,70,90,30,10,10,10,20,40,20,30
fun places to go in spain,Country PLP,Spain,Places & destinations,90,-22%,0%,Low,110,170,70,40,50,110,90,70,90,90,70,70
best places in spain to visit in september,Country PLP,Spain,Seasonality & weather,40,67%,25%,Low,40,50,50,70,50,30,10,10,10,30,20,50
spain holiday places to visit,Country PLP,Spain,Trip types & holidays,210,24%,-19%,Medium,320,390,260,260,140,140,90,70,90,210,170,260
top 10 places in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
prettiest places in spain,Country PLP,Spain,Places & destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
spain destinations for couples,Country PLP,Spain,Trip types & holidays,30,-50%,-60%,Medium,50,30,30,40,30,20,20,10,10,40,30,20
g adventures northern spain,Country PLP,Spain,Regional exploration,20,0%,100%,Low,30,20,20,10,20,10,10,10,10,20,20,20
best spain destinations for couples,Country PLP,Spain,Trip types & holidays,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
10 best beaches in spain,Country PLP,Spain,Beaches & coast,10,0%,0%,Medium,10,10,10,10,20,10,10,10,10,10,10,10
10 best cities to visit in spain,Country PLP,Spain,Urban destinations,110,-18%,-18%,Low,140,140,110,110,90,90,90,70,70,110,90,90
10 best things to do in spain,Country PLP,Spain,Activities & experiences,320,-19%,-33%,Medium,320,390,260,260,320,260,260,260,320,320,260,260
10 best things to see in spain,Country PLP,Spain,Sightseeing & landmarks,140,-35%,-35%,Medium,170,210,110,140,110,140,140,90,110,170,90,110
10 most beautiful cities in spain,Country PLP,Spain,Urban destinations,10,0%,0%,Low,10,10,20,20,10,10,10,10,10,10,10,10
10 most beautiful places in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
10 places to visit in spain,Country PLP,Spain,Places & destinations,30,0%,-60%,Low,50,50,40,20,20,30,40,20,30,20,20,20
10 things to see in spain,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
15 destination in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
15 destinations in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
15 top destinations in spain,Country PLP,Spain,Places & destinations,10,0%,-100%,Unknown,10,0,0,10,10,10,10,10,10,0,10,0
2 week southern spain itinerary,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
3 best cities to visit in spain,Country PLP,Spain,Urban destinations,20,0%,-33%,Low,30,40,20,20,30,30,20,20,10,20,20,20
3 days in spain where to go,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Medium,10,20,10,10,10,10,10,10,10,10,10,10
3 famous places in spain,Country PLP,Spain,Sightseeing & landmarks,40,100%,100%,Low,30,50,20,10,30,50,70,30,30,20,50,40
3 must see cities in spain,Country PLP,Spain,Urban destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
3 places to visit in spain,Country PLP,Spain,Places & destinations,110,22%,120%,Low,170,210,30,20,40,210,170,70,110,90,140,110
5 best places to visit in spain,Country PLP,Spain,Places & destinations,20,-50%,0%,Medium,40,30,20,20,10,30,20,10,10,20,20,10
5 places to visit in spain,Country PLP,Spain,Places & destinations,40,80%,350%,Low,70,50,30,10,20,70,50,40,30,50,40,90
5 things to do in spain,Country PLP,Spain,Activities & experiences,30,-40%,50%,Low,30,70,20,10,10,30,30,30,30,50,40,30
5 tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,40,67%,67%,Low,50,50,50,10,20,50,30,70,30,30,40,50
a famous place in spain,Country PLP,Spain,Places & destinations,50,40%,133%,Low,30,90,30,10,20,110,110,40,40,50,50,70
a top 15 destination in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
activities in spain for tourists,Country PLP,Spain,Activities & experiences,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
amazing places in spain,Country PLP,Spain,Places & destinations,50,25%,-29%,Low,70,90,90,50,40,70,70,30,40,40,70,50
amazing places to visit in spain,Country PLP,Spain,Places & destinations,30,-25%,0%,Low,40,70,30,20,20,40,20,30,20,40,30,30
amazing things to do in spain,Country PLP,Spain,Activities & experiences,10,0%,0%,High,10,20,10,10,10,10,10,10,10,10,10,10
areas in spain to visit,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
areas to visit in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Medium,20,20,20,10,20,20,10,20,20,20,20,20
attractions in spain for families,Country PLP,Spain,Sightseeing & landmarks,10,100%,100%,Low,20,10,10,10,10,10,70,10,10,10,10,20
attractions to visit in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
attractive places in spain,Country PLP,Spain,Places & destinations,10,-50%,0%,Medium,30,20,10,10,10,10,10,20,10,20,20,10
beach spain destinations,Country PLP,Spain,Beaches & coast,590,0%,-33%,Low,880,880,880,720,590,390,260,260,260,590,480,590
beautiful beach in spain,Country PLP,Spain,Beaches & coast,1300,0%,-19%,Low,1600,1900,1600,1600,1300,1000,880,880,720,1300,1000,1300
beautiful cities in spain,Country PLP,Spain,Urban destinations,720,0%,-18%,Low,880,1000,720,720,720,720,880,590,590,720,590,720
beautiful cities in spain to visit,Country PLP,Spain,Urban destinations,20,0%,50%,Low,10,10,10,10,30,10,20,20,20,30,10,30
beautiful cities of spain,Country PLP,Spain,Urban destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
beautiful destinations in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
beautiful parts of spain,Country PLP,Spain,Places & destinations,50,-20%,-43%,Low,70,70,70,50,50,40,40,30,30,50,50,40
beautiful places in spain to visit,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
beautiful places to go in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
beautiful places to see in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
beautiful places to visit spain,Country PLP,Spain,Places & destinations,50,25%,-29%,Low,70,90,90,50,40,70,70,30,40,40,70,50
beautiful scenery in spain,Country PLP,Spain,Nature & outdoors,20,100%,0%,Low,20,20,10,10,20,10,20,20,10,10,20,20
